1.0,,1,2008-09-23
1.1,Petit Four,2,2009-02-09
1.5,Cupcake,3,2009-04-27
1.6,Donut,4,2009-09-15
2.0,Eclair,5,2009-10-26
2.0.1,Eclair,6,2009-12-03
2.1,Eclair,7,2010-01-12
2.2,Froyo,8,2010-05-20
2.3,Gingerbread,9,2010-12-06
2.3.3,Gingerbread,10,2011-02-09
3.0,Honeycomb,11,2011-02-22
3.1,Honeycomb,12,2011-05-10
3.2,Honeycomb,13,2011-07-15
4.0,Ice Cream Sandwich,14,2011-10-18
4.0.3,Ice Cream Sandwich,15,2011-12-16
4.1,Jelly Bean,16,2012-07-19
4.2,Jelly Bean,17,2012-11-13
4.3,Jelly Bean,18,2013-07-24
4.4,KitKat,19,2013-10-31
4.4W,KitKat,20,2014-06-25
5.0,Lollipop,21,2014-11-12
5.1,Lollipop,22,2015-03-09
6.0,Marshmallow,23,2015-10-05
7.0,Nougat,24,2016-08-22
7.1,Nougat,25,2016-08-22
8.0,Oreo,26,2017-08-21
