1.1,buzz,1996-17-06,,,,2.0.0,5.002
1.2,rex,1996-12-12,,,,2.0.23,5.00307
1.3,bo,1997-07-02,,,,2.0.33,5.00307
2.0,hamm,1998-07-24,,,,2.0.34,5.00404
2.1,slink,1999-03-09,2000-10-30,,,2.0.36,5.00404
2.2,potato,2000-08-15,2003-06-30,,,2.2.19,5.00503
3.0,woody,2002-07-19,2006-06-30,,,2.2.20,5.6.1
3.1,sarge,2005-06-06,2008-03-31,,,2.4.27,5.8.4
4.0,etch,2007-04-08,2010-02-15,,,2.6.18,5.8.8
5.0,lenny,2009-02-14,2012-02-06,,,2.6.26,5.10.0
6.0,squeeze,2011-02-06,2016-02-28,6.0.10,2014-07-19,2.6.32,5.10.1
7.0,wheezy,2013-05-04,,7.9.0,2015-09-05,3.2.0,5.14.2
8.0,jessie,2015-04-25,,8.2.0,2015-09-05,3.16.0,5.20.2
