Week	L	M	S	P1	P3	P5	P15	P25	P50	P75	P85	P95	P97	P99
0	-0.3053	13.4069	0.09560	10.8	11.3	11.5	12.2	12.6	13.4	14.3	14.8	15.8	16.1	16.9
1	0.5247	13.3421	0.09821	10.5	11.0	11.3	12.0	12.5	13.3	14.2	14.7	15.6	15.9	16.6
2	0.4177	13.6377	0.09454	10.8	11.3	11.6	12.3	12.8	13.6	14.5	15.0	15.9	16.2	16.8
3	0.3449	14.2241	0.09230	11.4	11.9	12.2	12.9	13.4	14.2	15.1	15.6	16.5	16.8	17.5
4	0.2881	14.7714	0.09072	11.9	12.4	12.7	13.4	13.9	14.8	15.7	16.2	17.1	17.4	18.1
5	0.2409	15.2355	0.08953	12.3	12.8	13.1	13.9	14.3	15.2	16.2	16.7	17.6	18.0	18.7
6	0.2003	15.6107	0.08859	12.6	13.2	13.5	14.2	14.7	15.6	16.6	17.1	18.0	18.4	19.1
7	0.1645	15.9169	0.08782	12.9	13.5	13.8	14.5	15.0	15.9	16.9	17.4	18.4	18.7	19.5
8	0.1324	16.1698	0.08717	13.2	13.7	14.0	14.8	15.2	16.2	17.1	17.7	18.6	19.0	19.8
9	0.1032	16.3787	0.08661	13.4	13.9	14.2	15.0	15.4	16.4	17.4	17.9	18.9	19.3	20.0
10	0.0766	16.5494	0.08612	13.5	14.1	14.4	15.1	15.6	16.5	17.5	18.1	19.1	19.4	20.2
11	0.0520	16.6882	0.08569	13.7	14.2	14.5	15.3	15.7	16.7	17.7	18.2	19.2	19.6	20.3
12	0.0291	16.8016	0.08531	13.8	14.3	14.6	15.4	15.9	16.8	17.8	18.4	19.3	19.7	20.5
13	0.0077	16.8950	0.08496	13.9	14.4	14.7	15.5	16.0	16.9	17.9	18.4	19.4	19.8	20.6
