4.10,Warty Warthog,2004-10-20,2006-04-30,2006-04-30,2.6.8,5.8.4
5.04,Hoary Hedgehog,2005-04-08,2006-10-31,2006-10-31,2.6.10,5.8.4
5.10,Breezy Badger,2005-10-13,2007-04-13,2007-04-13,2.6.12,5.8.7
6.06 LTS,Dapper Drake,2006-06-01,2009-07-14,2011-06-01,2.6.15,5.8.7
6.10,Edgy Eft,2006-10-26,2008-04-25,2008-04-25,2.6.17,5.8.8
7.04,Feisty Fawn,2007-04-19,2008-10-19,2008-10-19,2.6.20,5.8.8
7.10,Gutsy Gibbon,2007-10-18,2009-04-18,2009-04-18,2.6.22,5.8.8
8.04 LTS,Hardy Heron,2008-04-24,2011-05-12,2013-05-09,2.6.24,5.8.8
8.10,Intrepid Ibex,2008-10-30,2010-04-30,2010-04-30,2.6.27,5.10.0
9.04,Jaunty Jackalope,2009-04-23,2010-10-23,2010-10-23,2.6.28,5.10.0
9.10,Karmic Koala,2009-10-29,2011-04-30,2011-04-30,2.6.31,5.10.0
10.04 LTS,Lucid Lynx,2010-04-29,2013-05-09,2015-04-30,2.6.32,5.10.1
10.10,Maverick Meerkat,2010-10-10,2012-04-10,2012-04-10,2.6.35,5.10.1
11.04,Natty Narwhal,2011-04-28,2012-10-28,2012-10-28,2.6.38,5.10.1
11.10,Oneiric Ocelot,2011-10-13,2013-05-09,2013-05-09,3.0,5.12.5
12.04 LTS,Precise Pangolin,2012-04-26,2017-04-26,2017-04-26,3.2,5.14.2
12.10,Quantal Quetzal,2012-10-18,2014-05-16,2014-05-16,3.5,5.14.2
13.04,Raring Ringtail,2013-04-25,2014-01-27,2014-01-27,3.8,5.14.2
13.10,Saucy Salamander,2013-10-17,2014-07-31,2014-07-31,3.11,5.14.2
14.04 LTS,Trusty Tahr,2014-04-17,2019-04-30,2019-04-30,3.13,5.18.2
14.10,Utopic Unicorn,2014-10-23,2015-07-23,2015-07-23,3.16,5.20.1
15.04,Vivid Vervet,2015-04-23,2016-01-31,2016-01-31,3.19.3,5.20.2
15.10,Wily Werewolf,2015-10-22,2016-07-31,2016-07-31,4.2,5.20.2
