warty,warthog
hoary,hedgehog
breezy,badger
dapper,drake
edgy,eft
feisty,fawn
gutsy,gibbon
hardy,heron
intrepid,ibex
jaunty,jackalope
karmic,koala
lucid,lynx
maverick,meerkat
natty,narwhal
oneiric,ocelot
precise,pangolin
quantal,quetzal
raring,ringtail
saucy,salamander
trusty,tahr
utopic,unicorn
vivid,vervet
wily,werewolf
xenial,xerus
yakkety,yak
zesty,zapus
artful,aardvark
bionic,beaver
cosmic,cuttlefish
disco,dingo
eoan,ermine
focal,fossa
groovy,gorilla
hirsute,hippo
impish,indri
jammy,jellyfish
kinetic,kudu
lunar,lobster
mantic,minotaur
